State,Index,Abbrev,Code,Region,Capital,Population 2020,Population 2021,Bordering
Alabama,0,Ala.,AL,3,Montgomery,5024803,5039877,9|10|24|42
Alaska,1,Alaska,AK,4,Juneau,732441,732673,
Arizona,2,Ariz.,AZ,4,Phoenix,7177986,7276316,4|5|27|31|44
Arkansas,3,Ark.,AR,3,Little Rock,3012232,3025891,18|24|25|36|42|43
California,4,Calif.,CA,4,Sacramento,39499738,39237836,2|28|37
Colorado,5,Colo.,CO,4,Denver,5784308,5812069,2|16|27|31|36|44|50
Connecticut,6,Conn.,CT,1,Hartford,3600260,3605597,21|32|39
Delaware,7,Del.,DE,3,Dover,991886,1003384,8|20|30|38
District of Columbia,8,D.C.,DC,3,Washington,690093,670050,20|46
Florida,9,Fla.,FL,3,Tallahassee,21569932,21781128,0|10
Georgia,10,Ga.,GA,3,Atlanta,10725800,10799566,0|9|33|40|42
Hawaii,11,Hawaii,HI,4,Honolulu,1451911,1441553,
Idaho,12,Idaho,ID,4,Boise,1847772,1900923,26|28|37|44|47|50
Illinois,13,Ill.,IL,2,Springfield,12785245,12671469,14|15|17|22|25|49
Indiana,14,Ind.,IN,2,Indianapolis,6785644,6805985,13|17|22|35
Iowa,15,Iowa,IA,2,Des Moines,3188669,3193079,13|23|24|27|41|49
Kansas,16,Kans.,KS,2,Topeka,2935880,2934582,5|25|27|36
Kentucky,17,Ky.,KY,3,Frankfort,4503958,4509394,13|14|24|35|42|46|48
Louisiana,18,La.,LA,3,Baton Rouge,4651203,4624047,3|24|43
Maine,19,Maine,ME,1,Augusta,1362280,1372247,29
Maryland,20,Md.,MD,3,Annapolis,6172679,6165129,7|8|38|46|48
Massachusetts,21,Mass.,MA,1,Boston,7022220,6984723,6|29|32|39|45
Michigan,22,Mich.,MI,2,Lansing,10067664,10050811,13|14|35|49
Minnesota,23,Minn.,MN,2,Saint Paul,5707165,5707390,15|33|41|49
Mississippi,24,Miss.,MS,3,Jackson,2956870,2949965,0|3|18|42
Missouri,25,Mo.,MO,2,Jefferson City,6154481,6168187,3|13|15|16|17|27|36|42
Montana,26,Mont.,MT,4,Helena,1086193,1104271,12|34|41|50
Nebraska,27,Nebr.,NE,2,Lincoln,1961455,1963692,5|15|16|25|41|50
Nevada,28,Nev.,NV,4,Carson City,3114071,3143991,2|4|12|37|44
New Hampshire,29,N.H.,NH,1,Concord,1377848,1388992,19|21|45
New Jersey,30,N.J.,NJ,1,Trenton,9279743,9267130,7|32|38
New Mexico,31,N.M.,NM,4,Santa Fe,2117566,2115877,2|5|36|43|44
New York,32,N.Y.,NY,1,Albany,20154933,19835913,6|21|30|38|45
North Carolina,33,N.C.,NC,3,Raleigh,10457177,10551162,10|40|42|46
North Dakota,34,N.D.,ND,2,Bismark,778962,774948,23|26|41
Ohio,35,Ohio,OH,2,Columbus,11790587,11780017,14|17|22|38|48
Oklahoma,36,Okla.,OK,3,Oklahoma City,3962031,3986639,3|5|16|25|31|43
Oregon,37,Ore.,OR,4,Salem,4241544,4246155,4|12|28|47
Pennsylvania,38,Pa.,PA,1,Harrisburg,12989625,12964056,7|20|30|32|35|48
Rhode Island,39,R.I.,RI,1,Providence,1096229,1095610,6|21
South Carolina,40,S.C.,SC,3,Columbia,5130729,5190705,10|33
South Dakota,41,S.D.,SD,2,Pierre,887099,895376,15|23|26|27|34|50
Tennessee,42,Tenn.,TN,3,Nashville,6920119,6975218,0|3|10|17|24|25|33|46
Texas,43,Tex.,TX,3,Austin,29217653,29527941,3|18|31|36
Utah,44,Utah,UT,4,Salt Lake City,3281684,3337975,2|5|12|31|28|50
Vermont,45,Vt.,VT,1,Montpelier,642495,645570,21|29|32
Virginia,46,Va.,VA,3,Richmond,8632044,8642274,17|20|33|42|48
Washington,47,Wash.,WA,4,Olympia,7718785,7738692,12|37
West Virginia,48,W.Va.,WV,3,Charleston,1789798,1782959,17|20|35|38|46
Wisconsin,49,Wis.,WI,2,Madison,5892323,5895908,13|15|22|23
Wyoming,50,Wyo.,WY,4,Cheyenne,577267,578803,5|12|26|27|41|44
